text,label,source
"and                                PREJUDICE                                   by                              Jane Austen,                            with a Preface by                            George Saintsbury                                   and                            Illustrations by                              Hugh Thomson                          [Illustration: 1894]                        Ruskin       156.",english,gutenberg
"Comyns Carr                       in acknowledgment of all I                        owe to his friendship and                     advice, these illustrations are                          gratefully inscribed_                             _Hugh Thomson_                                    ] PREFACE.",english,gutenberg
"On the other hand, I, for my part, declare for_ Pride and Prejudice _unhesitatingly.",english,gutenberg
"The elopement of Lydia and Wickham is not, like that of Crawford and Mrs.",english,gutenberg
"All the minor passages--the loves of Jane and Bingley, the advent of Mr.",english,gutenberg
"Collins, the visit to Hunsford, the Derbyshire tour--fit in after the same unostentatious, but masterly fashion.",english,gutenberg
Also there is in both a certain not inhuman or unamiable cruelty.,english,gutenberg
"Addison and in Miss Austen there is, though a restrained and well-mannered, an insatiable and ruthless delight in roasting and cutting up a fool.",english,gutenberg
But another_ Spectator _letter--that of the damsel of fourteen who wishes to marry Mr.,english,gutenberg
And in that sense Miss Austen certainly was one.,english,gutenberg
"She may even have been one in the further sense that, like her own Mr.",english,gutenberg
"Bennet, she took an epicurean delight in dissecting, in displaying, in setting at work her fools and her mean persons.",english,gutenberg
"If her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness.",english,gutenberg
"Even Scott required hill and mountain and ballad, even Coleridge metaphysics and German to enable them to chip the classical shell.",english,gutenberg
"The one was humanity, and the other was art.",english,gutenberg
"de Maupassant, and watch him laboriously piling up strokes in the hope of giving a complete impression.",english,gutenberg
"You get none; you are lucky if, discarding two-thirds of what he gives, you can shape a real impression out of the rest.",english,gutenberg
"But with Miss Austen the myriad, trivial, unforced strokes build up the picture like magic.",english,gutenberg
"Collins is really_ great; _far greater than anything Addison ever did, almost great enough for Fielding or for Swift himself.",english,gutenberg
It has been said that no one ever was like him.,english,gutenberg
Collins was impossible or non-existent at the end of the eighteenth century.,english,gutenberg
"The formality, the under-breeding, the meanness, are there; but the portrait is only half alive, and is felt to be even a little unnatural.",english,gutenberg
Collins could not have been so satisfactorily exhibited if his creatress had not adjusted so artfully to him the figures of Mr.,english,gutenberg
"There is, perhaps, a very faint shade of colour for the charge; but it seems to me very faint indeed.",english,gutenberg
"It is difficult to know whether he is most agreeable when talking to his wife, or when putting Mr.",english,gutenberg
"Bennet we have glanced at, and it is not easy to say whether she is more exquisitely amusing or more horribly true.",english,gutenberg
Elizabeth of course belongs to the_ allegro _or_ allegra _division of the army of Venus.,english,gutenberg
There were better sense in the sad mechanic exercise of determining the reason of its absence where it is not.,english,gutenberg
"Their names are, in chronological order, Elizabeth Bennet, Diana Vernon, Argemone Lavington, Beatrix Esmond, and Barbara Grant.",english,gutenberg
"I should have been most in love with Beatrix and Argemone; I should, I think, for mere occasional companionship, have preferred Diana and Barbara.",english,gutenberg
A single man of large fortune; four or five thousand a year.,english,gutenberg
"I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now.",english,gutenberg
Only think what an establishment it would be for one of them.,english,gutenberg
"Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers.",english,gutenberg
"Bennet, how can you abuse your own children in such a way?",english,gutenberg
"She was a woman of mean understanding, little information, and uncertain temper.",english,gutenberg
The business of her life was to get her daughters married: its solace was visiting and news.,english,gutenberg
Bennet was among the earliest of those who waited on Mr.,english,gutenberg
"Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters.",english,gutenberg
One cannot know what a man really is by the end of a fortnight.,english,gutenberg
"But if _we_ do not venture, somebody else will; and after all, Mrs.",english,gutenberg
"If I had known as much this morning, I certainly would not have called on him.",english,gutenberg
But I knew I should persuade you at last.,english,gutenberg
I was sure you loved your girls too well to neglect such an acquaintance.,english,gutenberg
"Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife.",english,gutenberg
"Lydia, my love, though you _are_ the youngest, I dare say Mr.",english,gutenberg
To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr.,english,gutenberg
An invitation to dinner was soon afterwards despatched; and already had Mrs.,english,gutenberg
"Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all.",english,gutenberg
"Bingley was obliged to be in town the following day, and consequently unable to accept the honour of their invitation, etc.",english,gutenberg
Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.,english,gutenberg
"And when the party entered the assembly-room, it consisted of only five altogether: Mr.",english,gutenberg
"Bingley, his two sisters, the husband of the eldest, and another young man.",english,gutenberg
"Bingley was good-looking and gentlemanlike: he had a pleasant countenance, and easy, unaffected manners.",english,gutenberg
"His sisters were fine women, with an air of decided fashion.",english,gutenberg
"Hurst, merely looked the gentleman; but his friend Mr.",english,gutenberg
"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr.",english,gutenberg
"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.",english,gutenberg
"Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.",english,gutenberg
"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr.",english,gutenberg
Darcy had been standing near enough for her to overhear a conversation between him and Mr.,english,gutenberg
"Bingley, who came from the dance for a few minutes to press his friend to join it.",english,gutenberg
I hate to see you standing about by yourself in this stupid manner.,english,gutenberg
"You know how I detest it, unless I am particularly acquainted with my partner.",english,gutenberg
"At such an assembly as this, it would be insupportable.",english,gutenberg
"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say very agreeable.",english,gutenberg
Darcy walked off; and Elizabeth remained with no very cordial feelings towards him.,english,gutenberg
"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous.",english,gutenberg
The evening altogether passed off pleasantly to the whole family.,english,gutenberg
Bennet had seen her eldest daughter much admired by the Netherfield party.,english,gutenberg
"Bingley had danced with her twice, and she had been distinguished by his sisters.",english,gutenberg
"Jane was as much gratified by this as her mother could be, though in a quieter way.",english,gutenberg
"They returned, therefore, in good spirits to Longbourn, the village where they lived, and of which they were the principal inhabitants.",english,gutenberg
"Jane was so admired, nothing could be like it.",english,gutenberg
"Bingley thought her quite beautiful, and danced with her twice.",english,gutenberg
"So he inquired who she was, and got introduced, and asked her for the two next.",english,gutenberg
I never in my life saw anything more elegant than their dresses.,english,gutenberg
"So high and so conceited, that there was no enduring him!",english,gutenberg
"He walked here, and he walked there, fancying himself so very great!",english,gutenberg
"I wish you had been there, my dear, to have given him one of your set-downs.",english,gutenberg
"Bingley before, expressed to her sister how very much she admired him.",english,gutenberg
"Compliments always take _you_ by surprise, and _me_ never.",english,gutenberg
What could be more natural than his asking you again?,english,gutenberg
He could not help seeing that you were about five times as pretty as every other woman in the room.,english,gutenberg
"Well, he certainly is very agreeable, and I give you leave to like him.",english,gutenberg
All the world are good and agreeable in your eyes.,english,gutenberg
"With _your_ good sense, to be so honestly blind to the follies and nonsense of others!",english,gutenberg
Affectation of candour is common enough; one meets with it everywhere.,english,gutenberg
"Hurst, who had married a man of more fashion than fortune, less disposed to consider his house as her home when it suited her.",english,gutenberg
"Bingley had not been of age two years when he was tempted, by an accidental recommendation, to look at Netherfield House.",english,gutenberg
"Between him and Darcy there was a very steady friendship, in spite of a great opposition of character.",english,gutenberg
Bingley was by no means deficient; but Darcy was clever.,english,gutenberg
"He was at the same time haughty, reserved, and fastidious; and his manners, though well bred, were not inviting.",english,gutenberg
In that respect his friend had greatly the advantage.,english,gutenberg
Bingley was sure of being liked wherever he appeared; Darcy was continually giving offence.,english,gutenberg
The manner in which they spoke of the Meryton assembly was sufficiently characteristic.,english,gutenberg
Miss Bennet he acknowledged to be pretty; but she smiled too much.,english,gutenberg
Miss Bennet was therefore established as a sweet girl; and their brother felt authorized by such commendation to think of her as he chose.,english,gutenberg
"For, though elated by his rank, it did not render him supercilious; on the contrary, he was all attention to everybody.",english,gutenberg
"By nature inoffensive, friendly, and obliging, his presentation at St.",english,gutenberg
"Lady Lucas was a very good kind of woman, not too clever to be a valuable neighbour to Mrs.",english,gutenberg
"Darcy is not so well worth listening to as his friend, is he?",english,gutenberg
"If he had been so very agreeable, he would have talked to Mrs.",english,gutenberg
"One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself.",english,gutenberg
